22965 	 2588498 	 2336 	 1521
22987 	 2607749 	 4799 	 2027
23171 	 2645818 	 200 	 164
23581 	 2647592 	 901 	 874
23746 	 2654995 	 566 	 417
24511 	 2659752 	 12 	 10
24540 	 2659876 	 1986 	 1175
24697 	 2675817 	 359 	 207
24818 	 2678698 	 855 	 555
25230 	 2685637 	 32 	 25
25294 	 2685944 	 55 	 47
25378 	 2686457 	 557 	 417
25665 	 2691284 	 290 	 198
25816 	 2693746 	 5 	 2
26080 	 2693798 	 1389 	 880
26091 	 2705301 	 142 	 107
26226 	 2706582 	 117 	 89
26229 	 2707619 	 1933 	 1919
26754 	 2723971 	 1911 	 1524
26782 	 2739402 	 427 	 328
27104 	 2743126 	 1 	 1
27185 	 2743144 	 1587 	 557
27236 	 2755758 	 458 	 379
27907 	 2759668 	 118 	 84
28550 	 2760706 	 291 	 220
28937 	 2763179 	 313 	 263
29364 	 2765907 	 63 	 39
29504 	 2766470 	 79 	 72
29669 	 2767225 	 7 	 7
29911 	 2767308 	 1675 	 1109
30044 	 2781212 	 7 	 7
30099 	 2781294 	 1708 	 1208
30332 	 2795321 	 116 	 112
30716 	 2796411 	 234 	 176
31157 	 2798483 	 642 	 238
31227 	 2803746 	 4 	 4
31238 	 2803796 	 51 	 29
31358 	 2804264 	 1 	 1
31544 	 2804282 	 77 	 67
32274 	 2805004 	 21 	 18
32716 	 2805212 	 1182 	 810
33092 	 2815087 	 206 	 142
33399 	 2816865 	 1 	 1
33720 	 2816883 	 495 	 340
34123 	 2821132 	 9 	 9
34405 	 2821231 	 24 	 11
34558 	 2821444 	 6 	 5
34761 	 2821514 	 158 	 113
35405 	 2822877 	 1436 	 1082
35417 	 2834754 	 171 	 158
35561 	 2836320 	 389 	 209
36286 	 2839419 	 1905 	 1047
36396 	 2854658 	 1 	 1
36408 	 2854676 	 220 	 196
36998 	 2856649 	 721 	 412
38402 	 2862562 	 204 	 194
38511 	 2864322 	 1 	 1
39248 	 2864340 	 821 	 639
39406 	 2871159 	 833 	 625
39723 	 2878143 	 1436 	 912
40304 	 2889333 	 98 	 83
40618 	 2890234 	 368 	 229
40619 	 2893373 	 1308 	 806
40687 	 2904114 	 26 	 18
40688 	 2904357 	 153 	 112
41547 	 2905713 	 203 	 161
41867 	 2907494 	 62 	 52
42298 	 2908079 	 1 	 1
668 	 2908097 	 857 	 530
796 	 2915297 	 8 	 7
950 	 2915382 	 154 	 137
955 	 2916807 	 126 	 94
993 	 2917883 	 66 	 66
1003 	 2918486 	 214 	 157
1073 	 2920359 	 58 	 54
1118 	 2920926 	 382 	 289
1189 	 2924160 	 72 	 72
2878 	 2924814 	 1072 	 554
3297 	 2933729 	 256 	 126
3308 	 2935851 	 391 	 353
3734 	 2939231 	 121 	 76
3856 	 2940276 	 1516 	 1005
4151 	 2952823 	 38 	 33
4320 	 2953195 	 255 	 203
5111 	 2955416 	 433 	 276
5471 	 2959081 	 1253 	 893
5533 	 2969620 	 68 	 68
5687 	 2970240 	 614 	 387
6142 	 2975369 	 245 	 221
6596 	 2977565 	 2569 	 1564
6622 	 2998714 	 66 	 66
7852 	 2999319 	 162 	 141
8158 	 3000790 	 28 	 18
8170 	 3001028 	 259 	 173
8188 	 3003262 	 70 	 70
8373 	 3003898 	 845 	 625
8377 	 3010999 	 193 	 148
8588 	 3012734 	 31 	 25
8908 	 3013014 	 380 	 302
9544 	 3016286 	 72 	 72
10029 	 3016942 	 2094 	 1131
10247 	 3033540 	 201 	 160
10266 	 3035325 	 71 	 71
